Row # (not a code)	UCUM_CODE	Description of the Unit (using UCUM descriptions where they exist)	Comment
1	10.L/min	10 liter per minute
2	10.L/(min.m2)	10 liter per minute per square meter
3	10.uN.s/(cm5.m2)	10 micronewton second per centimeter to the fifth power per square meter
4	10*4/uL	10 thousand per microliter
5	10*8	100 million
6	24.h	24 hour
7	{absorbance}	absorbance
8	{activity}	activity
9	[AU]	allergy unit
10	{AHF'U}	American Hospital Formulary unit
11	A	ampere
12	A/m	ampere per meter
13	[arb'U]	arbitrary unit
14	[arb'U]/mL	arbitrary unit per milliliter
15	{ARU}	aspirin response unit
16	atm	atmosphere
17	ag/{cell}	attogram per cell
18	bar	bar
19	Bq	Becquerel
20	[beth'U]	Bethesda unit
21	10*9/L	billion per liter
22	10*9/uL	billion per microliter
23	10*9/mL	billion per milliliter
24	{binding_index}	binding index
25	[bdsk'U]	Bodansky unit
26	{breaths}/min	breaths per minute
27	{CAG_repeats}	CAG trinucleotide repeats
28	cal	calorie
29	{cells}	cells
30	{cells}/[HPF]	cells per high power field
31	{cells}/uL	cells per microliter
32	cg	centigram
33	cL	centiliter
34	cm	centimeter
35	cm[Hg]	centimeter of mercury
36	cm[H2O]	centimeter of water
37	cm[H2O]/L/s	centimeter of water per liter per second
38	cm[H2O]/s/m	centimeter of water per second per meter
39	cm/s	centimeter per second
40	cP	centipoise
41	cSt	centistoke
42	{delta_OD}	change in (delta) optical density
43	{clock_time}	clock time e.g 12:30PM
44	[CFU]	colony forming unit
45	[CFU]/L	colony forming unit per liter
46	[CFU]/mL	colony forming unit per milliliter
47	{CAE'U}	complement activity enzyme unit
48	{CH100'U}	complement CH100 unit
49	{copies}	copies
50	{copies}/ug	copies per microgram
51	{copies}/mL	copies per milliliter
52	{count}	count
53	{CPM}	counts per minute
54	{CPM}/10*3{cell}	counts per minute per thousand cells
55	cm3	cubic centimeter
56	[cin_i]	cubic inch (international)
57	m3/s	cubic meter per second
58	{Ct_value}	Cycle threshold value
59	d	day
60	d/(7.d)	day per 7 day
61	d/wk	days per week
62	dB	decibel
63	dg	decigram
64	dL	deciliter
65	dm	decimeter
66	deg	degree (plane angle)
